,sqlite,postgresql,duckdb,arithmetic_mean
CREATE SEQUENCE,0.0,0.0016327863499061147,0.0034173198448645276,0.0016833687315902142
DROP OPERATOR,0.0,0.0016055732440743461,0.0,0.0005351910813581154
DROP DOMAIN,0.0,0.0014695077149155032,0.0,0.0004898359049718344
DO,0.0,0.0014695077149155032,0.0,0.0004898359049718344
DROP SCHEMA,0.0,0.0014150815032519662,0.0005966748935477747,0.0006705854655999137
CREATE FOREIGN,0.0,0.0014150815032519662,0.0,0.0004716938344173221
CREATE MATERIALIZED,0.0,0.0013334421857566605,0.0,0.0004444807285855535
ALTER SUBSCRIPTION,0.0,0.0012245897624295861,0.0,0.00040819658747652873
ALTER TEXT,0.0,0.001170163550766049,0.0,0.00039005451692201634
CREATE TEXT,0.0,0.001170163550766049,0.0,0.00039005451692201634
ALTER DOMAIN,0.0,0.0011429504449342804,0.0,0.00038098348164476015
/*,0.0,0.0011429504449342804,0.0,0.00038098348164476015
LOCK,0.0,0.0010885242332707432,0.0,0.00036284141109024776
ALTER FUNCTION,0.0,0.001034098021607206,0.0,0.00034469934053573537
DROP FOREIGN,0.0,0.001034098021607206,0.0,0.00034469934053573537
DROP PUBLICATION,0.0,0.0009524587041119003,0.0,0.0003174862347039668
CALL,0.0,0.0008980324924483631,0.002603672262753926,0.001167234918400763
CREATE SERVER,0.0,0.0008436062807848259,0.0,0.000281202093594942
CLOSE,0.0,0.0008436062807848259,0.0,0.000281202093594942
REFRESH,0.0,0.0008436062807848259,0.0,0.000281202093594942
CREATE SUBSCRIPTION,0.0,0.0008163931749530574,0.0,0.0002721310583176858
ALTER SERVER,0.0,0.0007891800691212888,0.0,0.0002630600230404296
CREATE OR REPLACE VIEW,0.0,0.0007619669632895202,0.0006237964796181281,0.0004619211476358828
DROP RULE,0.0,0.0007347538574577516,0.0,0.0002449179524859172
CREATE COLLATION,0.0,0.0007347538574577516,0.0,0.0002449179524859172
ALTER ROLE,0.0,0.0007347538574577516,0.0,0.0002449179524859172
ALTER SEQUENCE,0.0,0.0007347538574577516,0.0008407691681809553,0.000525174341879569
DROP POLICY,0.0,0.0007075407516259831,0.0,0.00023584691720866105
TABLE,0.0,0.0007075407516259831,0.0,0.00023584691720866105
CLUSTER,0.0,0.0006803276457942145,0.0,0.00022677588193140486
DROP STATISTICS,0.0,0.0006803276457942145,0.0,0.00022677588193140486
DROP SEQUENCE,0.0,0.000653114539962446,0.0014103224756583765,0.0006878123385402741
CREATE EVENT,0.0,0.000653114539962446,0.0,0.00021770484665414866
ALTER VIEW,0.0,0.000653114539962446,0.0004068237910553009,0.00035331277700591566
CREATE PROCEDURE,0.0,0.0006259014341306774,0.0,0.00020863381137689246
CREATE CAST,0.0,0.0005714752224671402,0.0,0.00019049174082238007
END,0.0,0.000517049010803603,0.0,0.00017234967026786768
DROP SERVER,0.0,0.0004898359049718344,0.0,0.0001632786349906115
ALTER POLICY,0.0,0.00046262279914006585,0.0,0.0001542075997133553
